PositionalColumnId,Position,varexp_main.csv_OriginalHeader,varexp_main.csv_NormalizedHeader,plc_m_varexp.csv_OriginalHeader,plc_m_varexp.csv_NormalizedHeader,G03_varexp.csv_OriginalHeader,G03_varexp.csv_NormalizedHeader,BFU_varexp.csv_OriginalHeader,BFU_varexp.csv_NormalizedHeader,E02_varexp.csv_OriginalHeader,E02_varexp.csv_NormalizedHeader,VariantGroup,Status,CandidateCanonicalName,AutomaticMergeAllowed,ManualReviewRequired
VAREXP_COL_021,21,Simulated,SIMULATED,Simulated,SIMULATED,Simulated,SIMULATED,Simulated,SIMULATED,Simulated,SIMULATED,COMMON_EXACT_VAREXP_COL_021,KNOWN_COMMON_HEADER,Simulated,TRUE,FALSE
VAREXP_COL_022,22,Saved,SAVED,Saved,SAVED,Saved,SAVED,Saved,SAVED,Saved,SAVED,COMMON_EXACT_VAREXP_COL_022,KNOWN_COMMON_HEADER,Saved,TRUE,FALSE
VAREXP_COL_023,23,Source,SOURCE,Source,SOURCE,Source,SOURCE,Source,SOURCE,Source,SOURCE,COMMON_EXACT_VAREXP_COL_023,KNOWN_COMMON_HEADER,Source,TRUE,FALSE
VAREXP_COL_024,24,Broadcast,BROADCAST,Broadcast,BROADCAST,Broadcast,BROADCAST,Broadcast,BROADCAST,Broadcast,BROADCAST,COMMON_EXACT_VAREXP_COL_024,KNOWN_COMMON_HEADER,Broadcast,TRUE,FALSE
VAREXP_COL_025,25,StationOrAssociationNumber,STATIONORASSOCIATIONNUMBER,StationOrAssociationNumber,STATIONORASSOCIATIONNUMBER,StationOrAssociationNumber,STATIONORASSOCIATIONNUMBER,StationOrAssociationNumber,STATIONORASSOCIATIONNUMBER,StationOrAssociationNumber,STATIONORASSOCIATIONNUMBER,COMMON_EXACT_VAREXP_COL_025,KNOWN_COMMON_HEADER,StationOrAssociationNumber,TRUE,FALSE
VAREXP_COL_026,26,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_026,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_026,FALSE,TRUE
VAREXP_COL_027,27,PermanentScan,PERMANENTSCAN,PermanentScan,PERMANENTSCAN,PermanentScan,PERMANENTSCAN,PermanentScan,PERMANENTSCAN,PermanentScan,PERMANENTSCAN,COMMON_EXACT_VAREXP_COL_027,KNOWN_COMMON_HEADER,PermanentScan,TRUE,FALSE
VAREXP_COL_028,28,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_028,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_028,FALSE,TRUE
VAREXP_COL_029,29,UseExtendedAttributes,USEEXTENDEDATTRIBUTES,UseExtendedAttributes,USEEXTENDEDATTRIBUTES,UseExtendedAttributes,USEEXTENDEDATTRIBUTES,UseExtendedAttributes,USEEXTENDEDATTRIBUTES,UseExtendedAttributes,USEEXTENDEDATTRIBUTES,COMMON_EXACT_VAREXP_COL_029,KNOWN_COMMON_HEADER,UseExtendedAttributes,TRUE,FALSE
VAREXP_COL_030,30,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_030,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_030,FALSE,TRUE
VAREXP_COL_031,31,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_031,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_031,FALSE,TRUE
VAREXP_COL_032,32,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_032,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_032,FALSE,TRUE
VAREXP_COL_033,33,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_033,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_033,FALSE,TRUE
VAREXP_COL_034,34,ServerListName,SERVERLISTNAME,ServerListName,SERVERLISTNAME,ServerListName,SERVERLISTNAME,ServerListName,SERVERLISTNAME,ServerListName,SERVERLISTNAME,COMMON_EXACT_VAREXP_COL_034,KNOWN_COMMON_HEADER,ServerListName,TRUE,FALSE
VAREXP_COL_035,35,ClientListName,CLIENTLISTNAME,ClientListName,CLIENTLISTNAME,ClientListName,CLIENTLISTNAME,ClientListName,CLIENTLISTNAME,ClientListName,CLIENTLISTNAME,COMMON_EXACT_VAREXP_COL_035,KNOWN_COMMON_HEADER,ClientListName,TRUE,FALSE
VAREXP_COL_036,36,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_036,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_036,FALSE,TRUE
VAREXP_COL_037,37,Eqt_NetworkName,EQT_NETWORKNAME,Eqt_NetworkName,EQT_NETWORKNAME,Eqt_NetworkName,EQT_NETWORKNAME,Eqt_NetworkName,EQT_NETWORKNAME,Eqt_NetworkName,EQT_NETWORKNAME,COMMON_EXACT_VAREXP_COL_037,KNOWN_COMMON_HEADER,Eqt_NetworkName,TRUE,FALSE
VAREXP_COL_038,38,Eqt_EqtName,EQT_EQTNAME,Eqt_EqtName,EQT_EQTNAME,Eqt_EqtName,EQT_EQTNAME,Eqt_EqtName,EQT_EQTNAME,Eqt_EqtName,EQT_EQTNAME,COMMON_EXACT_VAREXP_COL_038,KNOWN_COMMON_HEADER,Eqt_EqtName,TRUE,FALSE
VAREXP_COL_039,39,Eqt_FrameName,EQT_FRAMENAME,Eqt_FrameName,EQT_FRAMENAME,Eqt_FrameName,EQT_FRAMENAME,Eqt_FrameName,EQT_FRAMENAME,Eqt_FrameName,EQT_FRAMENAME,COMMON_EXACT_VAREXP_COL_039,KNOWN_COMMON_HEADER,Eqt_FrameName,TRUE,FALSE
VAREXP_COL_040,40,Eqt_Type,EQT_TYPE,Eqt_Type,EQT_TYPE,Eqt_Type,EQT_TYPE,Eqt_Type,EQT_TYPE,Eqt_Type,EQT_TYPE,COMMON_EXACT_VAREXP_COL_040,KNOWN_COMMON_HEADER,Eqt_Type,TRUE,FALSE
VAREXP_COL_041,41,Eqt_Index,EQT_INDEX,Eqt_Index,EQT_INDEX,Eqt_Index,EQT_INDEX,Eqt_Index,EQT_INDEX,Eqt_Index,EQT_INDEX,COMMON_EXACT_VAREXP_COL_041,KNOWN_COMMON_HEADER,Eqt_Index,TRUE,FALSE
VAREXP_COL_042,42,Eqt_IndexComp,EQT_INDEXCOMP,Eqt_IndexComp,EQT_INDEXCOMP,Eqt_IndexComp,EQT_INDEXCOMP,Eqt_IndexComp,EQT_INDEXCOMP,Eqt_IndexComp,EQT_INDEXCOMP,COMMON_EXACT_VAREXP_COL_042,KNOWN_COMMON_HEADER,Eqt_IndexComp,TRUE,FALSE
VAREXP_COL_043,43,Eqt_SizeBit,EQT_SIZEBIT,Eqt_SizeBit,EQT_SIZEBIT,Eqt_SizeBit,EQT_SIZEBIT,Eqt_SizeBit,EQT_SIZEBIT,Eqt_SizeBit,EQT_SIZEBIT,COMMON_EXACT_VAREXP_COL_043,KNOWN_COMMON_HEADER,Eqt_SizeBit,TRUE,FALSE
VAREXP_COL_044,44,Eqt_TextEncoding,EQT_TEXTENCODING,Eqt_TextEncoding,EQT_TEXTENCODING,Eqt_TextEncoding,EQT_TEXTENCODING,Eqt_TextEncoding,EQT_TEXTENCODING,Eqt_TextEncoding,EQT_TEXTENCODING,COMMON_EXACT_VAREXP_COL_044,KNOWN_COMMON_HEADER,Eqt_TextEncoding,TRUE,FALSE
VAREXP_COL_045,45,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_045,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_045,FALSE,TRUE
VAREXP_COL_046,46,AssociatedLabels,ASSOCIATEDLABELS,AssociatedLabels,ASSOCIATEDLABELS,AssociatedLabels,ASSOCIATEDLABELS,AssociatedLabels,ASSOCIATEDLABELS,AssociatedLabels,ASSOCIATEDLABELS,COMMON_EXACT_VAREXP_COL_046,KNOWN_COMMON_HEADER,AssociatedLabels,TRUE,FALSE
VAREXP_COL_047,47,Log0_1,LOG0_1,Log0_1,LOG0_1,Log0_1,LOG0_1,Log0_1,LOG0_1,Log0_1,LOG0_1,COMMON_EXACT_VAREXP_COL_047,KNOWN_COMMON_HEADER,Log0_1,TRUE,FALSE
VAREXP_COL_048,48,Log1_0,LOG1_0,Log1_0,LOG1_0,Log1_0,LOG1_0,Log1_0,LOG1_0,Log1_0,LOG1_0,COMMON_EXACT_VAREXP_COL_048,KNOWN_COMMON_HEADER,Log1_0,TRUE,FALSE
VAREXP_COL_049,49,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_049,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_049,FALSE,TRUE
VAREXP_COL_050,50,BitCommandLevel,BITCOMMANDLEVEL,BitCommandLevel,BITCOMMANDLEVEL,BitCommandLevel,BITCOMMANDLEVEL,BitCommandLevel,BITCOMMANDLEVEL,BitCommandLevel,BITCOMMANDLEVEL,COMMON_EXACT_VAREXP_COL_050,KNOWN_COMMON_HEADER,BitCommandLevel,TRUE,FALSE
VAREXP_COL_051,51,AlarmLevel,ALARMLEVEL,AlarmLevel,ALARMLEVEL,AlarmLevel,ALARMLEVEL,AlarmLevel,ALARMLEVEL,AlarmLevel,ALARMLEVEL,COMMON_EXACT_VAREXP_COL_051,KNOWN_COMMON_HEADER,AlarmLevel,TRUE,FALSE
VAREXP_COL_052,52,AlarmActiveAt1,ALARMACTIVEAT1,AlarmActiveAt1,ALARMACTIVEAT1,AlarmActiveAt1,ALARMACTIVEAT1,AlarmActiveAt1,ALARMACTIVEAT1,AlarmActiveAt1,ALARMACTIVEAT1,COMMON_EXACT_VAREXP_COL_052,KNOWN_COMMON_HEADER,AlarmActiveAt1,TRUE,FALSE
VAREXP_COL_053,53,MaskDependency,MASKDEPENDENCY,MaskDependency,MASKDEPENDENCY,MaskDependency,MASKDEPENDENCY,MaskDependency,MASKDEPENDENCY,MaskDependency,MASKDEPENDENCY,COMMON_EXACT_VAREXP_COL_053,KNOWN_COMMON_HEADER,MaskDependency,TRUE,FALSE
VAREXP_COL_054,54,AlarmTemporization,ALARMTEMPORIZATION,AlarmTemporization,ALARMTEMPORIZATION,AlarmTemporization,ALARMTEMPORIZATION,AlarmTemporization,ALARMTEMPORIZATION,AlarmTemporization,ALARMTEMPORIZATION,COMMON_EXACT_VAREXP_COL_054,KNOWN_COMMON_HEADER,AlarmTemporization,TRUE,FALSE
VAREXP_COL_055,55,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_055,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_055,FALSE,TRUE
VAREXP_COL_056,56,ThresholdHysterisis,THRESHOLDHYSTERISIS,ThresholdHysterisis,THRESHOLDHYSTERISIS,ThresholdHysterisis,THRESHOLDHYSTERISIS,ThresholdHysterisis,THRESHOLDHYSTERISIS,ThresholdHysterisis,THRESHOLDHYSTERISIS,COMMON_EXACT_VAREXP_COL_056,KNOWN_COMMON_HEADER,ThresholdHysterisis,TRUE,FALSE
VAREXP_COL_057,57,ThresholdValue,THRESHOLDVALUE,Thresholdvalue,THRESHOLDVALUE,ThresholdValue,THRESHOLDVALUE,ThresholdValue,THRESHOLDVALUE,Thresholdvalue,THRESHOLDVALUE,CASE_ALIAS_VAREXP_COL_057,CASE_ONLY_VARIANT,ThresholdValue,TRUE,FALSE
VAREXP_COL_058,58,ThresholdHigh,THRESHOLDHIGH,ThresholdHigh,THRESHOLDHIGH,ThresholdHigh,THRESHOLDHIGH,ThresholdHigh,THRESHOLDHIGH,ThresholdHigh,THRESHOLDHIGH,COMMON_EXACT_VAREXP_COL_058,KNOWN_COMMON_HEADER,ThresholdHigh,TRUE,FALSE
VAREXP_COL_059,59,ThresholdSource,THRESHOLDSOURCE,ThresholdSource,THRESHOLDSOURCE,ThresholdSource,THRESHOLDSOURCE,ThresholdSource,THRESHOLDSOURCE,ThresholdSource,THRESHOLDSOURCE,COMMON_EXACT_VAREXP_COL_059,KNOWN_COMMON_HEADER,ThresholdSource,TRUE,FALSE
VAREXP_COL_060,60,ThresholdSystem,THRESHOLDSYSTEM,ThresholdSystem,THRESHOLDSYSTEM,ThresholdSystem,THRESHOLDSYSTEM,ThresholdSystem,THRESHOLDSYSTEM,ThresholdSystem,THRESHOLDSYSTEM,COMMON_EXACT_VAREXP_COL_060,KNOWN_COMMON_HEADER,ThresholdSystem,TRUE,FALSE
VAREXP_COL_061,61,ThresholdTypeInSystem,THRESHOLDTYPEINSYSTEM,ThresholdTypeInSystem,THRESHOLDTYPEINSYSTEM,ThresholdTypeInSystem,THRESHOLDTYPEINSYSTEM,ThresholdTypeInSystem,THRESHOLDTYPEINSYSTEM,ThresholdTypeInSystem,THRESHOLDTYPEINSYSTEM,COMMON_EXACT_VAREXP_COL_061,KNOWN_COMMON_HEADER,ThresholdTypeInSystem,TRUE,FALSE
VAREXP_COL_062,62,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_062,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_062,FALSE,TRUE
VAREXP_COL_063,63,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_063,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_063,FALSE,TRUE
VAREXP_COL_064,64,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_064,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_064,FALSE,TRUE
VAREXP_COL_065,65,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_065,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_065,FALSE,TRUE
VAREXP_COL_066,66,Unit,UNIT,Unit,UNIT,Unit,UNIT,Unit,UNIT,Unit,UNIT,COMMON_EXACT_VAREXP_COL_066,KNOWN_COMMON_HEADER,Unit,TRUE,FALSE
VAREXP_COL_067,67,DeadbandValue,DEADBANDVALUE,Deadbandvalue,DEADBANDVALUE,DeadbandValue,DEADBANDVALUE,DeadbandValue,DEADBANDVALUE,Deadbandvalue,DEADBANDVALUE,CASE_ALIAS_VAREXP_COL_067,CASE_ONLY_VARIANT,DeadbandValue,TRUE,FALSE
VAREXP_COL_068,68,MinimumValue,MINIMUMVALUE,Minimumvalue,MINIMUMVALUE,MinimumValue,MINIMUMVALUE,MinimumValue,MINIMUMVALUE,Minimumvalue,MINIMUMVALUE,CASE_ALIAS_VAREXP_COL_068,CASE_ONLY_VARIANT,MinimumValue,TRUE,FALSE
VAREXP_COL_069,69,MaximumValue,MAXIMUMVALUE,Maximumvalue,MAXIMUMVALUE,MaximumValue,MAXIMUMVALUE,MaximumValue,MAXIMUMVALUE,Maximumvalue,MAXIMUMVALUE,CASE_ALIAS_VAREXP_COL_069,CASE_ONLY_VARIANT,MaximumValue,TRUE,FALSE
VAREXP_COL_070,70,ScaledValue,SCALEDVALUE,Scaledvalue,SCALEDVALUE,ScaledValue,SCALEDVALUE,ScaledValue,SCALEDVALUE,Scaledvalue,SCALEDVALUE,CASE_ALIAS_VAREXP_COL_070,CASE_ONLY_VARIANT,ScaledValue,TRUE,FALSE
VAREXP_COL_071,71,DeviceMinimumValue,DEVICEMINIMUMVALUE,DeviceMinimumvalue,DEVICEMINIMUMVALUE,DeviceMinimumValue,DEVICEMINIMUMVALUE,DeviceMinimumValue,DEVICEMINIMUMVALUE,DeviceMinimumvalue,DEVICEMINIMUMVALUE,CASE_ALIAS_VAREXP_COL_071,CASE_ONLY_VARIANT,DeviceMinimumValue,TRUE,FALSE
VAREXP_COL_072,72,DeviceMaximumValue,DEVICEMAXIMUMVALUE,DeviceMaximumvalue,DEVICEMAXIMUMVALUE,DeviceMaximumValue,DEVICEMAXIMUMVALUE,DeviceMaximumValue,DEVICEMAXIMUMVALUE,DeviceMaximumvalue,DEVICEMAXIMUMVALUE,CASE_ALIAS_VAREXP_COL_072,CASE_ONLY_VARIANT,DeviceMaximumValue,TRUE,FALSE
VAREXP_COL_073,73,Format,FORMAT,Format,FORMAT,Format,FORMAT,Format,FORMAT,Format,FORMAT,COMMON_EXACT_VAREXP_COL_073,KNOWN_COMMON_HEADER,Format,TRUE,FALSE
VAREXP_COL_074,74,VariableMinimumValue,VARIABLEMINIMUMVALUE,VariableMinimumvalue,VARIABLEMINIMUMVALUE,VariableMinimumValue,VARIABLEMINIMUMVALUE,VariableMinimumValue,VARIABLEMINIMUMVALUE,VariableMinimumvalue,VARIABLEMINIMUMVALUE,CASE_ALIAS_VAREXP_COL_074,CASE_ONLY_VARIANT,VariableMinimumValue,TRUE,FALSE
VAREXP_COL_075,75,VariableMaximumValue,VARIABLEMAXIMUMVALUE,VariableMaximumvalue,VARIABLEMAXIMUMVALUE,VariableMaximumValue,VARIABLEMAXIMUMVALUE,VariableMaximumValue,VARIABLEMAXIMUMVALUE,VariableMaximumvalue,VARIABLEMAXIMUMVALUE,CASE_ALIAS_VAREXP_COL_075,CASE_ONLY_VARIANT,VariableMaximumValue,TRUE,FALSE
VAREXP_COL_076,76,ControlMinimumValue,CONTROLMINIMUMVALUE,ControlMinimumvalue,CONTROLMINIMUMVALUE,ControlMinimumValue,CONTROLMINIMUMVALUE,ControlMinimumValue,CONTROLMINIMUMVALUE,ControlMinimumvalue,CONTROLMINIMUMVALUE,CASE_ALIAS_VAREXP_COL_076,CASE_ONLY_VARIANT,ControlMinimumValue,TRUE,FALSE
VAREXP_COL_077,77,ControlMaximumValue,CONTROLMAXIMUMVALUE,ControlMaximumvalue,CONTROLMAXIMUMVALUE,ControlMaximumValue,CONTROLMAXIMUMVALUE,ControlMaximumValue,CONTROLMAXIMUMVALUE,ControlMaximumvalue,CONTROLMAXIMUMVALUE,CASE_ALIAS_VAREXP_COL_077,CASE_ONLY_VARIANT,ControlMaximumValue,TRUE,FALSE
VAREXP_COL_078,78,RegisterCommandLevel,REGISTERCOMMANDLEVEL,RegisterCommandLevel,REGISTERCOMMANDLEVEL,RegisterCommandLevel,REGISTERCOMMANDLEVEL,RegisterCommandLevel,REGISTERCOMMANDLEVEL,RegisterCommandLevel,REGISTERCOMMANDLEVEL,COMMON_EXACT_VAREXP_COL_078,KNOWN_COMMON_HEADER,RegisterCommandLevel,TRUE,FALSE
VAREXP_COL_079,79,VariableControlMinimumValue,VARIABLECONTROLMINIMUMVALUE,VariableControlMinimumvalue,VARIABLECONTROLMINIMUMVALUE,VariableControlMinimumValue,VARIABLECONTROLMINIMUMVALUE,VariableControlMinimumValue,VARIABLECONTROLMINIMUMVALUE,VariableControlMinimumvalue,VARIABLECONTROLMINIMUMVALUE,CASE_ALIAS_VAREXP_COL_079,CASE_ONLY_VARIANT,VariableControlMinimumValue,TRUE,FALSE
VAREXP_COL_080,80,VariableControlMaximumValue,VARIABLECONTROLMAXIMUMVALUE,VariableControlMaximumvalue,VARIABLECONTROLMAXIMUMVALUE,VariableControlMaximumValue,VARIABLECONTROLMAXIMUMVALUE,VariableControlMaximumValue,VARIABLECONTROLMAXIMUMVALUE,VariableControlMaximumvalue,VARIABLECONTROLMAXIMUMVALUE,CASE_ALIAS_VAREXP_COL_080,CASE_ONLY_VARIANT,VariableControlMaximumValue,TRUE,FALSE
VAREXP_COL_081,81,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_081,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_081,FALSE,TRUE
VAREXP_COL_082,82,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_082,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_082,FALSE,TRUE
VAREXP_COL_083,83,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_083,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_083,FALSE,TRUE
VAREXP_COL_084,84,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_084,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_084,FALSE,TRUE
VAREXP_COL_085,85,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_085,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_085,FALSE,TRUE
VAREXP_COL_086,86,Counter_StepSize,COUNTER_STEPSIZE,Counter_StepSize,COUNTER_STEPSIZE,Counter_StepSize,COUNTER_STEPSIZE,Counter_StepSize,COUNTER_STEPSIZE,Counter_StepSize,COUNTER_STEPSIZE,COMMON_EXACT_VAREXP_COL_086,KNOWN_COMMON_HEADER,Counter_StepSize,TRUE,FALSE
VAREXP_COL_087,87,Counter_Type,COUNTER_TYPE,Counter_Type,COUNTER_TYPE,Counter_Type,COUNTER_TYPE,Counter_Type,COUNTER_TYPE,Counter_Type,COUNTER_TYPE,COMMON_EXACT_VAREXP_COL_087,KNOWN_COMMON_HEADER,Counter_Type,TRUE,FALSE
VAREXP_COL_088,88,Counter_CountBitName,COUNTER_COUNTBITNAME,Counter_CountBitName,COUNTER_COUNTBITNAME,Counter_CountBitName,COUNTER_COUNTBITNAME,Counter_CountBitName,COUNTER_COUNTBITNAME,Counter_CountBitName,COUNTER_COUNTBITNAME,COMMON_EXACT_VAREXP_COL_088,KNOWN_COMMON_HEADER,Counter_CountBitName,TRUE,FALSE
VAREXP_COL_089,89,Counter_CountBitTransition,COUNTER_COUNTBITTRANSITION,Counter_CountBitTransition,COUNTER_COUNTBITTRANSITION,Counter_CountBitTransition,COUNTER_COUNTBITTRANSITION,Counter_CountBitTransition,COUNTER_COUNTBITTRANSITION,Counter_CountBitTransition,COUNTER_COUNTBITTRANSITION,COMMON_EXACT_VAREXP_COL_089,KNOWN_COMMON_HEADER,Counter_CountBitTransition,TRUE,FALSE
VAREXP_COL_090,90,Counter_ResetBitName,COUNTER_RESETBITNAME,Counter_ResetBitName,COUNTER_RESETBITNAME,Counter_ResetBitName,COUNTER_RESETBITNAME,Counter_ResetBitName,COUNTER_RESETBITNAME,Counter_ResetBitName,COUNTER_RESETBITNAME,COMMON_EXACT_VAREXP_COL_090,KNOWN_COMMON_HEADER,Counter_ResetBitName,TRUE,FALSE
VAREXP_COL_091,91,Counter_ResetBitTransition,COUNTER_RESETBITTRANSITION,Counter_ResetBitTransition,COUNTER_RESETBITTRANSITION,Counter_ResetBitTransition,COUNTER_RESETBITTRANSITION,Counter_ResetBitTransition,COUNTER_RESETBITTRANSITION,Counter_ResetBitTransition,COUNTER_RESETBITTRANSITION,COMMON_EXACT_VAREXP_COL_091,KNOWN_COMMON_HEADER,Counter_ResetBitTransition,TRUE,FALSE
VAREXP_COL_092,92,,,,,,,,,,,EMPTY_POSITION_VAREXP_COL_092,RESERVED_CANDIDATE_UNCONFIRMED,VAREXP_COL_092,FALSE,TRUE
