PositionalColumnId,Position,CandidateCanonicalName,SchemaVariantStatus,AcquisitionClassification,ClassificationReason,VariantGroup,varexp_main.csv_OriginalHeader,plc_m_varexp.csv_OriginalHeader,G03_varexp.csv_OriginalHeader,BFU_varexp.csv_OriginalHeader,E02_varexp.csv_OriginalHeader
VAREXP_COL_032,32,VAREXP_COL_032,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_032,,,,,
VAREXP_COL_033,33,VAREXP_COL_033,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_033,,,,,
VAREXP_COL_034,34,ServerListName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_034,ServerListName,ServerListName,ServerListName,ServerListName,ServerListName
VAREXP_COL_035,35,ClientListName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_035,ClientListName,ClientListName,ClientListName,ClientListName,ClientListName
VAREXP_COL_036,36,VAREXP_COL_036,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_036,,,,,
VAREXP_COL_037,37,Eqt_NetworkName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_037,Eqt_NetworkName,Eqt_NetworkName,Eqt_NetworkName,Eqt_NetworkName,Eqt_NetworkName
VAREXP_COL_038,38,Eqt_EqtName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_038,Eqt_EqtName,Eqt_EqtName,Eqt_EqtName,Eqt_EqtName,Eqt_EqtName
VAREXP_COL_039,39,Eqt_FrameName,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_039,Eqt_FrameName,Eqt_FrameName,Eqt_FrameName,Eqt_FrameName,Eqt_FrameName
VAREXP_COL_040,40,Eqt_Type,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_040,Eqt_Type,Eqt_Type,Eqt_Type,Eqt_Type,Eqt_Type
VAREXP_COL_041,41,Eqt_Index,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_041,Eqt_Index,Eqt_Index,Eqt_Index,Eqt_Index,Eqt_Index
VAREXP_COL_042,42,Eqt_IndexComp,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_042,Eqt_IndexComp,Eqt_IndexComp,Eqt_IndexComp,Eqt_IndexComp,Eqt_IndexComp
VAREXP_COL_043,43,Eqt_SizeBit,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_043,Eqt_SizeBit,Eqt_SizeBit,Eqt_SizeBit,Eqt_SizeBit,Eqt_SizeBit
VAREXP_COL_044,44,Eqt_TextEncoding,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_044,Eqt_TextEncoding,Eqt_TextEncoding,Eqt_TextEncoding,Eqt_TextEncoding,Eqt_TextEncoding
VAREXP_COL_045,45,VAREXP_COL_045,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_045,,,,,
VAREXP_COL_046,46,AssociatedLabels,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_046,AssociatedLabels,AssociatedLabels,AssociatedLabels,AssociatedLabels,AssociatedLabels
VAREXP_COL_047,47,Log0_1,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_047,Log0_1,Log0_1,Log0_1,Log0_1,Log0_1
VAREXP_COL_048,48,Log1_0,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_048,Log1_0,Log1_0,Log1_0,Log1_0,Log1_0
VAREXP_COL_049,49,VAREXP_COL_049,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_049,,,,,
VAREXP_COL_050,50,BitCommandLevel,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_050,BitCommandLevel,BitCommandLevel,BitCommandLevel,BitCommandLevel,BitCommandLevel
VAREXP_COL_051,51,AlarmLevel,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_051,AlarmLevel,AlarmLevel,AlarmLevel,AlarmLevel,AlarmLevel
VAREXP_COL_052,52,AlarmActiveAt1,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_052,AlarmActiveAt1,AlarmActiveAt1,AlarmActiveAt1,AlarmActiveAt1,AlarmActiveAt1
VAREXP_COL_053,53,MaskDependency,KNOWN_COMMON_HEADER,NOT_REQUIRED_FOR_UTILITY_AI,Known field not required for initial Utility AI Pilot,COMMON_EXACT_VAREXP_COL_053,MaskDependency,MaskDependency,MaskDependency,MaskDependency,MaskDependency
VAREXP_COL_054,54,AlarmTemporization,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_054,AlarmTemporization,AlarmTemporization,AlarmTemporization,AlarmTemporization,AlarmTemporization
VAREXP_COL_055,55,VAREXP_COL_055,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_055,,,,,
VAREXP_COL_056,56,ThresholdHysterisis,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_056,ThresholdHysterisis,ThresholdHysterisis,ThresholdHysterisis,ThresholdHysterisis,ThresholdHysterisis
VAREXP_COL_057,57,ThresholdValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_057,ThresholdValue,Thresholdvalue,ThresholdValue,ThresholdValue,Thresholdvalue
VAREXP_COL_058,58,ThresholdHigh,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_058,ThresholdHigh,ThresholdHigh,ThresholdHigh,ThresholdHigh,ThresholdHigh
VAREXP_COL_059,59,ThresholdSource,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_059,ThresholdSource,ThresholdSource,ThresholdSource,ThresholdSource,ThresholdSource
VAREXP_COL_060,60,ThresholdSystem,KNOWN_COMMON_HEADER,EXCLUDED_SENSITIVE,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot",COMMON_EXACT_VAREXP_COL_060,ThresholdSystem,ThresholdSystem,ThresholdSystem,ThresholdSystem,ThresholdSystem
VAREXP_COL_061,61,ThresholdTypeInSystem,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_061,ThresholdTypeInSystem,ThresholdTypeInSystem,ThresholdTypeInSystem,ThresholdTypeInSystem,ThresholdTypeInSystem
VAREXP_COL_062,62,VAREXP_COL_062,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_062,,,,,
VAREXP_COL_063,63,VAREXP_COL_063,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_063,,,,,
VAREXP_COL_064,64,VAREXP_COL_064,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_064,,,,,
VAREXP_COL_065,65,VAREXP_COL_065,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_065,,,,,
VAREXP_COL_066,66,Unit,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_066,Unit,Unit,Unit,Unit,Unit
VAREXP_COL_067,67,DeadbandValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_067,DeadbandValue,Deadbandvalue,DeadbandValue,DeadbandValue,Deadbandvalue
VAREXP_COL_068,68,MinimumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_068,MinimumValue,Minimumvalue,MinimumValue,MinimumValue,Minimumvalue
VAREXP_COL_069,69,MaximumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_069,MaximumValue,Maximumvalue,MaximumValue,MaximumValue,Maximumvalue
VAREXP_COL_070,70,ScaledValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_070,ScaledValue,Scaledvalue,ScaledValue,ScaledValue,Scaledvalue
VAREXP_COL_071,71,DeviceMinimumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_071,DeviceMinimumValue,DeviceMinimumvalue,DeviceMinimumValue,DeviceMinimumValue,DeviceMinimumvalue
VAREXP_COL_072,72,DeviceMaximumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_072,DeviceMaximumValue,DeviceMaximumvalue,DeviceMaximumValue,DeviceMaximumValue,DeviceMaximumvalue
VAREXP_COL_073,73,Format,KNOWN_COMMON_HEADER,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",COMMON_EXACT_VAREXP_COL_073,Format,Format,Format,Format,Format
VAREXP_COL_074,74,VariableMinimumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_074,VariableMinimumValue,VariableMinimumvalue,VariableMinimumValue,VariableMinimumValue,VariableMinimumvalue
VAREXP_COL_075,75,VariableMaximumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_075,VariableMaximumValue,VariableMaximumvalue,VariableMaximumValue,VariableMaximumValue,VariableMaximumvalue
VAREXP_COL_076,76,ControlMinimumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_076,ControlMinimumValue,ControlMinimumvalue,ControlMinimumValue,ControlMinimumValue,ControlMinimumvalue
VAREXP_COL_077,77,ControlMaximumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_077,ControlMaximumValue,ControlMaximumvalue,ControlMaximumValue,ControlMaximumValue,ControlMaximumvalue
VAREXP_COL_078,78,RegisterCommandLevel,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_078,RegisterCommandLevel,RegisterCommandLevel,RegisterCommandLevel,RegisterCommandLevel,RegisterCommandLevel
VAREXP_COL_079,79,VariableControlMinimumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_079,VariableControlMinimumValue,VariableControlMinimumvalue,VariableControlMinimumValue,VariableControlMinimumValue,VariableControlMinimumvalue
VAREXP_COL_080,80,VariableControlMaximumValue,CASE_ONLY_VARIANT,APPROVED_FOR_DATA_ACQUISITION,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field",CASE_ALIAS_VAREXP_COL_080,VariableControlMaximumValue,VariableControlMaximumvalue,VariableControlMaximumValue,VariableControlMaximumValue,VariableControlMaximumvalue
VAREXP_COL_081,81,VAREXP_COL_081,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_081,,,,,
VAREXP_COL_082,82,VAREXP_COL_082,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_082,,,,,
VAREXP_COL_083,83,VAREXP_COL_083,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_083,,,,,
VAREXP_COL_084,84,VAREXP_COL_084,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_084,,,,,
VAREXP_COL_085,85,VAREXP_COL_085,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_085,,,,,
VAREXP_COL_086,86,Counter_StepSize,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_086,Counter_StepSize,Counter_StepSize,Counter_StepSize,Counter_StepSize,Counter_StepSize
VAREXP_COL_087,87,Counter_Type,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_087,Counter_Type,Counter_Type,Counter_Type,Counter_Type,Counter_Type
VAREXP_COL_088,88,Counter_CountBitName,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_088,Counter_CountBitName,Counter_CountBitName,Counter_CountBitName,Counter_CountBitName,Counter_CountBitName
VAREXP_COL_089,89,Counter_CountBitTransition,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_089,Counter_CountBitTransition,Counter_CountBitTransition,Counter_CountBitTransition,Counter_CountBitTransition,Counter_CountBitTransition
VAREXP_COL_090,90,Counter_ResetBitName,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_090,Counter_ResetBitName,Counter_ResetBitName,Counter_ResetBitName,Counter_ResetBitName,Counter_ResetBitName
VAREXP_COL_091,91,Counter_ResetBitTransition,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_091,Counter_ResetBitTransition,Counter_ResetBitTransition,Counter_ResetBitTransition,Counter_ResetBitTransition,Counter_ResetBitTransition
VAREXP_COL_092,92,VAREXP_COL_092,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_092,,,,,
VAREXP_COL_093,93,VAREXP_COL_093,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_093,,,,,
VAREXP_COL_094,94,VAREXP_COL_094,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_094,,,,,
VAREXP_COL_095,95,VAREXP_COL_095,RESERVED_CANDIDATE_UNCONFIRMED,EXCLUDED_SCHEMA_UNCERTAIN,Empty positional field; reserved status unconfirmed,EMPTY_POSITION_VAREXP_COL_095,,,,,
VAREXP_COL_096,96,Chrono_Period,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_096,Chrono_Period,Chrono_Period,Chrono_Period,Chrono_Period,Chrono_Period
VAREXP_COL_097,97,Chrono_Type,KNOWN_COMMON_HEADER,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,COMMON_EXACT_VAREXP_COL_097,Chrono_Type,Chrono_Type,Chrono_Type,Chrono_Type,Chrono_Type
VAREXP_COL_098,98,Chrono_EnableBitName,CASE_ONLY_VARIANT,METADATA_ONLY,Retain only as schema/provenance metadata; not an initial Utility AI value field,CASE_ALIAS_VAREXP_COL_098,Chrono_EnableBitName,Chrono_enableBitName,Chrono_EnableBitName,Chrono_EnableBitName,Chrono_enableBitName
