PositionalColumnId,Position,CandidateHeader,UtilityAIRole,AcquisitionDecision,PilotAction,ProvenanceRequirement,Reason
VAREXP_COL_153,153,OPC_ItemId,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_154,154,OPC_AccessPath,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_162,162,DeadbandType,CLASS_NATURE_DATA_TYPE,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_163,163,Recorder,HISTORIAN,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_164,164,MaskExpressionBranch,ALARM,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_165,165,MaskExpressionTemplate,ALARM,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_166,166,MessageAlarm,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_169,169,BACnet_NetworkName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_170,170,BACnet_DeviceName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_171,171,BACnet_ObjectType,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_172,172,BACnet_ObjectInstance,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_173,173,BACnet_Property,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_181,181,AlarmAcknowledgmentLevel,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_182,182,AlarmMaskLevel,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_183,183,AlarmMaintenanceLevel,ALARM,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_184,184,WithInitialValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_185,185,InitialValue,DATA_TYPE_OR_SCALING,APPROVED_FOR_DATA_ACQUISITION,INCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Minimum Utility AI identity, description, type, unit, alarm, scaling, or historian field"
VAREXP_COL_186,186,104_NetworkName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_187,187,104_DeviceName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_188,188,104_SectorName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_189,189,104_IOA,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_190,190,104_Type,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_196,196,IEC61850_MappingType,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_197,197,IEC61850_Network,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_198,198,IEC61850_PhysicalDevice,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_199,199,IEC61850_DataGroup,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_200,200,IEC61850_DataGroupMember,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_201,201,IEC61850_DataGroupMemberField,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_224,224,BACnet_VarType,CLASS_NATURE_DATA_TYPE,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_225,225,BACnet_AlarmType,ALARM,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_236,236,SNMP_NetworkName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_237,237,SNMP_DeviceName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_238,238,SNMP_ScanGroupName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_239,239,SNMP_DataType,CLASS_NATURE_DATA_TYPE,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_240,240,SNMP_OID,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_257,257,OPCUA_NetworkName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_258,258,OPCUA_ClientName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_259,259,OPCUA_MonitoringName,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_260,260,OPCUA_Identifier,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_261,261,OPCUA_IdentifierType,CLASS_NATURE_DATA_TYPE,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
VAREXP_COL_262,262,OPCUA_NamespaceIndex,PLC_COMMUNICATION_ADDRESS_MAPPING,EXCLUDED_SENSITIVE,EXCLUDE,SOURCE_SPECIFIC_ORIGINAL_HEADER_REQUIRED,"Communication, address, endpoint, source-system, station, or control-expression metadata excluded from initial Pilot"
