Path,SizeBytes,Type,Purpose,ProductionRisk,Reproducible,SYNTHETIC_SAFE_FOR_GIT,FinalClassification,Reason
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/dataSecret/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,9404,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/dataSecret/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,9463,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/dataSecret/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,9463,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/dataSecret/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,9396,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/dataSecret/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,9463,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/global101/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,10176,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/global101/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,10243,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/global101/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,10243,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/global101/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,10176,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/global101/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,10627,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/keyOnly/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,9370,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/keyOnly/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,9462,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/keyOnly/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,9462,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/keyOnly/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,9395,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/keyOnly/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,9446,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario must be generated at test runtime
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/main/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,10150,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/main/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,10242,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/main/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,10242,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/main/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,10175,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/main/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,10242,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed261/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,9396,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed261/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,9462,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed261/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,9463,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed261/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,9396,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed261/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,9463,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed263/Project Files/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,9396,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed263/Project Files/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,9463,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed263/Project Files/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,9469,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed263/Project Files/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,9396,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/malformed263/Project Files/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,9463,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4.2 fixture
05_QA/phase4_2_minimal_hierarchy_pilot_rc1/PilotConfig_Global101.psd1,1125,QA Script/Config,Reproducible QA configuration,TEST_RISK_PRESENT,YES,N/A,TRACK_IN_GIT,Boundary fixture configuration required for reproducible QA
05_QA/rc5_nonproduction/DebugCollector.ps1,20236,QA Script/Config,Superseded debug helper,TEST_RISK_PRESENT,YES,N/A,DELETE_CANDIDATE,Temporary debug-only script superseded by canonical Collector
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752.zip,6902,Release/QA ZIP,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752.zip.sha256,111,Checksum,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/CSV_SAMPLE_STRUCTURE.csv,11989,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/FINAL_SAMPLE_STATUS.txt,201,QA Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/HISTO_HEADER_ANALYSIS.csv,2342,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/PVTREND_HEADER_ANALYSIS.csv,1022,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/SAMPLE_COLLECTION_STATUS.csv,1956,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/SHA256SUMS.txt,564,QA Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_main/PCVue_CSV_Header_Sample_20260813_121752/VAREXP_HEADER_ANALYSIS.csv,9415,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759.zip,6734,Release/QA ZIP,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759.zip.sha256,111,Checksum,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/CSV_SAMPLE_STRUCTURE.csv,11781,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/FINAL_SAMPLE_STATUS.txt,201,QA Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/HISTO_HEADER_ANALYSIS.csv,2342,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/PVTREND_HEADER_ANALYSIS.csv,814,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/SAMPLE_COLLECTION_STATUS.csv,1962,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/SHA256SUMS.txt,564,QA Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_pvbad/PCVue_CSV_Header_Sample_20260813_121759/VAREXP_HEADER_ANALYSIS.csv,9415,CSV Fixture/Result,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756.zip,6817,Release/QA ZIP,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756.zip.sha256,111,Checksum,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/CSV_SAMPLE_STRUCTURE.csv,8474,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/FINAL_SAMPLE_STATUS.txt,201,QA Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/HISTO_HEADER_ANALYSIS.csv,2342,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/PVTREND_HEADER_ANALYSIS.csv,1022,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/SAMPLE_COLLECTION_STATUS.csv,1990,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/SHA256SUMS.txt,564,QA Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/e2e_sensitive/PCVue_CSV_Header_Sample_20260813_121756/VAREXP_HEADER_ANALYSIS.csv,5900,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,N/A,IGNORE_GENERATED,Repeated E2E package/result output
05_QA/rc5_nonproduction/fixture_before_hashes.json,5684,QA Intermediate,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,NO,IGNORE_GENERATED,Validation intermediate
05_QA/rc5_nonproduction/fixture_main/DO_NOT_READ.dat,38,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/DO_NOT_READ.xlsx,39,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/DO_NOT_READ.xml,38,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/UNAPPROVED_SENTINEL.csv,34,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Server Station/histo_log.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/A/histo/plc_w_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,2583,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/B/histo/G02_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,63,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/C/histo/C11_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,70000,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/ELEC/histo/E02_histo.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,38,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,2552,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_main/USR/SSV Integrated Project/TP/PvTrend_AggregatedStatistics_202506121757.csv,229,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/DO_NOT_READ.dat,38,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/DO_NOT_READ.xlsx,39,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/DO_NOT_READ.xml,38,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/UNAPPROVED_SENTINEL.csv,34,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
05_QA/rc5_nonproduction/fixture_pvbad/USR/SSV Integrated Project/C1/Server Station/histo_log.csv,75,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 3 fixture; no credential/endpoint pattern detected
