Path,SizeBytes,Classification,Reason
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-layout-fan-stop.png,1870,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-layout-fan-trip.gif,1615,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-open-pid.png,1242,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-rd.png,224,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-sd-green.png,1426,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-sd-red.png,1383,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-sd-yellow.png,1449,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/ahu-sd.png,275,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-arrow-h.png,1492,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-arrow-v.png,1470,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-b-off.png,304,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-b-on.png,517,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-m-off.png,258,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-m-on.png,643,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-s-off-disable.png,1799,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-s-off.png,256,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-s-on-disable.png,2008,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-box-s-on.png,513,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-circle-off-disable.png,2323,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-circle-off.png,2314,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-circle-on-disable.png,2457,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-circle-on.png,1974,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-close-off.png,9026,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-close-on.png,9340,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-fast-off.png,8894,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-fast-on.png,9183,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-medium-off.png,9383,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-medium-on.png,9798,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-open-off.png,9456,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-open-on.png,9611,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-slow-off.png,9481,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-slow-on.png,9857,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-start-off.png,8973,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-start-on.png,9287,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-stop-off.png,9512,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-button-stop-on.png,9658,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-fan-run-s.gif,88205,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-fan-run.gif,140677,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-fan-stop-s.png,10114,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-fan-stop.png,12964,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-fan-trip-s.gif,6064,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-fan-trip.gif,9178,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-green-led.png,1684,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-na.png,3381,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-run-s.gif,2974,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-run.gif,4238,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-stop-s.png,1948,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-stop.png,2630,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-trip-s.gif,3139,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-pump-trip.gif,4756,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/common-red-led.png,1696,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Common/B/texture.png,564230,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-aqua-angle.png,590,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-aqua-branch-a.png,592,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-aqua-branch-b.png,588,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-aqua-h.png,553,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-aqua-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-blue-angle.png,580,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-blue-branch-a.png,593,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-blue-branch-b.png,587,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-blue-h.png,551,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-blue-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-cyan-angle.png,599,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-cyan-branch-a.png,591,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-cyan-branch-b.png,601,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-cyan-h.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-cyan-v.png,147,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-green-angle.png,583,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-green-branch-a.png,594,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-green-branch-b.png,582,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-green-h.png,552,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-green-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-mediumblue-angle.png,586,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-mediumblue-branch-a.png,592,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-mediumblue-branch-b.png,585,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-mediumblue-h.png,553,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-mediumblue-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-red-angle.png,572,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-red-branch-a.png,573,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-red-branch-b.png,578,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-red-h.png,556,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-red-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-skyblue-angle.png,586,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-skyblue-branch-a.png,592,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-skyblue-branch-b.png,570,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-skyblue-h.png,564,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-skyblue-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-violet-angle.png,589,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-violet-branch-a.png,593,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-violet-branch-b.png,570,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-violet-h.png,553,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-violet-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-yellow-angle.png,585,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-yellow-branch-a.png,590,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-yellow-branch-b.png,569,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-yellow-h.png,553,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/B/pipe-yellow-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Pipe/TB/tbnails_5_I,320,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/ack_all.png,2089,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/ack_one.png,1892,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/alarm.png,2238,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/btn_TabX_nor.png,1316,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/btn_TabX_over.png,1064,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/comm.png,1847,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/common-menu-button-gray-78x24.png,344,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/common-menu-button-gray-78x28.png,1762,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/common-menu-button-green-78x28.png,422,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/common-menu-button-red-78x24.png,392,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/common-menu-button-white-78x24.png,383,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/common-menu-button-white-78x28.png,398,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/event.png,2209,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/exit.png,1608,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/home.png,1330,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/led_green.png,557,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/led_red.png,527,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/led_yellow.png,521,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/logo_simple.png,3336,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/logo.png,13400,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/logon.png,403,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/setting.png,2577,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/Setup.jpg,56979,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/sound_off.png,2027,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/sound_on.png,2274,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/start-image-01.png,710197,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/start-image-02.png,283973,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/start-logo.png,8770,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/trend.png,2687,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Backup/Template/B/user.png,3893,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/button.PNG,3086,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/common-arrow-h.png,1492,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/common-arrow-v.png,1470,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/Home.png,612074,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-aqua-angle-1.png,586,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-aqua-angle-2.png,592,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-aqua-angle-3.png,601,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-blue-angle.png,580,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-blue-branch-a.png,593,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-blue-branch-b.png,587,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-blue-branch-c.png,594,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-blue-h.png,551,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/pipe-blue-v.png,559,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/value_box.png,874,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/01. Weintek/Lib/zzzz.png,593,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/01. gms-1.gxw,1588224,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/02. gms-2.gxw,1500160,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/03. gms-3.gxw,1835008,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/Backup/20210830/GMS_1.gxw,2825728,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/Backup/20210830/GMS_2_1.gxw,1595904,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/Backup/20210830/GMS_2_2.gxw,1396736,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/Backup/20230801/GMS_1.gxw,1576448,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/Backup/20230801/GMS_2_1.gxw,1503744,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/Backup/20230801/GMS_2_2.gxw,1382400,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/B_GMS.GTX,3036470,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/_hdb,3063808,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/checkout.xml,378,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/dataprotection.xml,7024,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/history.xml,3689,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/label.xml,372,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/labellink.xml,394,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/Project.gt32,0,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
02. Project Backup/02. Mitsubishi/GOT2000/GMS/B_GMS/projectdatalist.xml,4098,MOVE_TO_FIELDDATA,PLC/HMI/SCADA backup candidate
